date,district,market_name,commodity_name,variety,actual,prediction,error,pct_error
2025-08-07,Medinipur(W),Jhargram,Rice,Common,3800,3833.4749,33.474853515625,0.8809171977796052
2024-11-21,Medinipur(W),Jhargram,Rice,Super Fine,4800,4954.702,154.7021484375,3.2229614257812496
2024-03-04,Medinipur(W),Jhargram,Rice,Super Fine,5000,5052.146,52.14599609375,1.042919921875
2024-11-25,Medinipur(W),Jhargram,Rice,Fine,4400,4345.885,54.115234375,1.2298916903409092
2024-05-18,Medinipur(W),Jhargram,Rice,Super Fine,5000,5128.742,128.7421875,2.57484375
2025-08-28,Medinipur(W),Jhargram,Rice,Fine,4400,4421.57,21.56982421875,0.4902232776988636
2025-05-20,Medinipur(W),Jhargram,Rice,Super Fine,5000,4977.633,22.3671875,0.44734375
2025-08-18,Medinipur(W),Jhargram,Rice,Fine,4400,4393.3345,6.66552734375,0.1514892578125
2024-02-15,Darjeeling,Kalimpong,Rice,Other,6000,6036.8706,36.87060546875,0.6145100911458333
2024-11-15,Medinipur(W),Jhargram,Rice,Fine,4600,4428.122,171.8779296875,3.7364767323369565
2025-01-10,Medinipur(W),Jhargram,Rice,Super Fine,5000,4930.373,69.626953125,1.3925390625
2025-01-28,Medinipur(W),Jhargram,Rice,Fine,4000,4273.7617,273.76171875,6.84404296875
2025-05-08,Medinipur(W),Jhargram,Rice,Super Fine,5000,4976.1963,23.8037109375,0.47607421875
2024-09-07,Darjeeling,Kalimpong,Rice,Other,4500,4417.708,82.2919921875,1.8287109375
2024-04-16,Medinipur(W),Jhargram,Rice,Fine,4400,4414.9683,14.96826171875,0.34018776633522724
2025-01-30,Medinipur(W),Jhargram,Rice,Fine,4400,4348.974,51.02587890625,1.1596790660511362
2024-01-03,Jalpaiguri,Alipurduar,Rice,Fine,3550,3564.6802,14.68017578125,0.41352607834507044
2025-01-18,Medinipur(W),Jhargram,Rice,Super Fine,5000,4897.5654,102.4345703125,2.04869140625
2024-08-28,Darjeeling,Kalimpong,Rice,Other,4500,4605.397,105.39697265625,2.342154947916667
2025-08-19,Medinipur(W),Jhargram,Rice,Super Fine,5000,4991.756,8.244140625,0.1648828125
2025-07-30,Medinipur(W),Jhargram,Rice,Super Fine,5000,4950.829,49.1708984375,0.98341796875
2024-08-05,Darjeeling,Kalimpong,Rice,Other,4600,4618.784,18.7841796875,0.40835173233695654
2025-01-13,Medinipur(W),Jhargram,Rice,Fine,4400,4333.5483,66.45166015625,1.5102650035511362
2024-12-03,Medinipur(W),Jhargram,Rice,Common,3800,3761.0283,38.9716796875,1.0255705180921053
2024-11-11,Medinipur(W),Jhargram,Rice,Common,3800,3823.3577,23.357666015625,0.6146754214638158
2024-08-09,Medinipur(W),Jhargram,Rice,Common,3800,3812.2344,12.234375,0.32195723684210525
2025-05-21,Medinipur(W),Jhargram,Rice,Super Fine,5000,4949.9746,50.025390625,1.0005078125
2024-06-17,Medinipur(W),Jhargram,Rice,Common,3800,3814.6614,14.661376953125,0.38582570929276316
2024-10-02,Medinipur(W),Jhargram,Rice,Super Fine,5000,4967.596,32.40380859375,0.648076171875
2024-02-16,Jalpaiguri,Alipurduar,Rice,Common,3200,3124.4343,75.565673828125,2.3614273071289062
2025-04-05,Medinipur(W),Jhargram,Rice,Super Fine,5000,4961.996,38.00390625,0.7600781249999999
2024-05-26,Medinipur(W),Jhargram,Rice,Fine,4400,4363.876,36.1240234375,0.8210005326704545
2024-06-03,Medinipur(W),Jhargram,Rice,Fine,4400,4411.9355,11.935546875,0.27126242897727276
2024-03-19,Darjeeling,Kalimpong,Rice,Other,6000,6023.918,23.91796875,0.3986328125
2024-05-19,Medinipur(W),Jhargram,Rice,Common,3800,3797.0554,2.944580078125,0.0774889494243421
2024-11-20,Medinipur(W),Jhargram,Rice,Common,3800,3774.524,25.47607421875,0.6704230057565789
2024-08-08,Medinipur(W),Jhargram,Rice,Fine,4400,4422.301,22.30078125,0.5068359375
2025-08-17,Medinipur(W),Jhargram,Rice,Super Fine,5000,4983.9683,16.03173828125,0.320634765625
2025-08-22,Medinipur(W),Jhargram,Rice,Super Fine,5000,4987.7734,12.2265625,0.24453125
2025-05-29,Medinipur(W),Jhargram,Rice,Common,3800,3791.2422,8.7578125,0.23046875
2025-03-20,Medinipur(W),Jhargram,Rice,Common,3800,3801.2344,1.234375,0.03248355263157895
2025-07-19,Medinipur(W),Jhargram,Rice,Common,3800,3776.966,23.033935546875,0.6061561986019737
2024-04-04,Medinipur(W),Jhargram,Rice,Fine,4400,4417.715,17.71484375,0.40261008522727276
2025-09-03,Medinipur(W),Jhargram,Rice,Fine,4400,4347.8706,52.12939453125,1.1847589666193183
2025-04-06,Medinipur(W),Jhargram,Rice,Common,3800,3764.9497,35.05029296875,0.922376130756579
2025-02-11,Medinipur(W),Jhargram,Rice,Common,3800,3785.2622,14.73779296875,0.3878366570723684
2024-09-14,Darjeeling,Kalimpong,Rice,Other,4500,3583.2036,916.79638671875,20.373253038194445
2024-03-21,Medinipur(W),Jhargram,Rice,Fine,4400,4425.6816,25.681640625,0.5836736505681818
2024-08-29,Darjeeling,Kalimpong,Rice,Other,4500,4633.3887,133.388671875,2.964192708333333
2024-04-08,Darjeeling,Kalimpong,Rice,Other,6000,5940.4175,59.58251953125,0.9930419921874999
2025-08-28,Medinipur(W),Jhargram,Rice,Super Fine,5000,5016.3296,16.32958984375,0.326591796875
2024-05-17,Medinipur(W),Jhargram,Rice,Fine,4400,4416.6743,16.67431640625,0.3789617365056818
2024-10-02,Medinipur(W),Jhargram,Rice,Common,3800,3775.5203,24.479736328125,0.6442035875822368
2025-01-23,Medinipur(W),Jhargram,Rice,Common,3600,3657.627,57.626953125,1.6007486979166665
2024-02-22,Medinipur(W),Jhargram,Rice,Super Fine,5000,5096.301,96.30078125,1.926015625
2024-08-09,Medinipur(W),Jhargram,Rice,Fine,4400,4419.7427,19.74267578125,0.44869717684659094
2025-04-06,Medinipur(W),Jhargram,Rice,Common,3800,3760.2607,39.7392578125,1.0457699424342106
2024-04-11,Darjeeling,Kalimpong,Rice,Other,6000,5947.5967,52.4033203125,0.873388671875
2024-04-23,Medinipur(W),Jhargram,Rice,Super Fine,5200,5109.2,90.7998046875,1.7461500901442308
2024-06-05,Medinipur(W),Jhargram,Rice,Super Fine,5000,5074.9565,74.95654296875,1.4991308593750001
2024-10-19,Medinipur(W),Jhargram,Rice,Common,3800,3831.2754,31.275390625,0.823036595394737
2025-03-26,Medinipur(W),Jhargram,Rice,Super Fine,5000,4973.2607,26.7392578125,0.53478515625
2024-10-18,Darjeeling,Kalimpong,Rice,Other,4500,4426.572,73.42822265625,1.6317382812499999
2025-04-18,Medinipur(W),Jhargram,Rice,Super Fine,5000,4967.885,32.115234375,0.6423046875
2024-05-17,Medinipur(W),Jhargram,Rice,Super Fine,5200,5115.5474,84.45263671875,1.6240891676682694
2024-08-04,Medinipur(W),Jhargram,Rice,Fine,4400,4404.299,4.298828125,0.09770063920454546
2024-09-05,Medinipur(W),Jhargram,Rice,Super Fine,5000,4989.4956,10.50439453125,0.210087890625
2025-04-29,Medinipur(W),Jhargram,Rice,Common,3800,3758.6162,41.3837890625,1.0890470805921053
2024-06-25,Jalpaiguri,Alipurduar,Rice,Common,3300,3318.1296,18.129638671875,0.5493829900568182
2024-08-16,Darjeeling,Kalimpong,Rice,Other,4500,4398.6895,101.310546875,2.251345486111111
2024-03-30,Medinipur(W),Jhargram,Rice,Fine,4400,4424.7993,24.79931640625,0.5636208274147727
2024-05-29,Medinipur(W),Jhargram,Rice,Fine,4400,4426.4917,26.49169921875,0.6020840731534091
2024-11-22,Medinipur(W),Jhargram,Rice,Common,3800,3770.022,29.97802734375,0.7888954564144737
2024-09-11,Darjeeling,Kalimpong,Rice,Other,4500,4166.3843,333.61572265625,7.413682725694444
2024-03-31,Darjeeling,Kalimpong,Rice,Other,6000,6037.2197,37.2197265625,0.6203287760416666
2025-08-13,Medinipur(W),Jhargram,Rice,Super Fine,5000,4989.541,10.458984375,0.2091796875
2024-05-02,Medinipur(W),Jhargram,Rice,Common,3800,3785.3716,14.62841796875,0.38495836759868424
2024-03-27,Medinipur(W),Jhargram,Rice,Super Fine,5000,5105.1235,105.12353515625,2.102470703125
2024-04-05,Medinipur(W),Jhargram,Rice,Super Fine,5000,5100.539,100.5390625,2.01078125
2024-04-29,Medinipur(W),Jhargram,Rice,Super Fine,5200,5103.2046,96.79541015625,1.8614501953125
2024-04-01,Medinipur(W),Jhargram,Rice,Super Fine,5200,5161.7583,38.24169921875,0.7354172926682693
2024-11-27,Medinipur(W),Jhargram,Rice,Common,3700,3708.6963,8.6962890625,0.23503483952702706
2024-04-11,Medinipur(W),Jhargram,Rice,Super Fine,5200,5105.533,94.466796875,1.816669170673077
2025-07-01,Medinipur(W),Jhargram,Rice,Common,3800,3793.6553,6.3447265625,0.16696648848684212
2024-04-14,Medinipur(W),Jhargram,Rice,Super Fine,5000,5096.2324,96.232421875,1.9246484375000001
2025-09-25,Medinipur(W),Jhargram,Rice,Super Fine,5000,4978.245,21.7548828125,0.43509765625
2024-10-02,Medinipur(W),Jhargram,Rice,Fine,4400,4386.5854,13.41455078125,0.3048761541193182
2024-01-16,Darjeeling,Kalimpong,Rice,Other,6000,5979.0186,20.9814453125,0.34969075520833337
2025-08-26,Medinipur(W),Jhargram,Rice,Super Fine,5000,4980.2456,19.75439453125,0.395087890625
2025-09-17,Medinipur(W),Jhargram,Rice,Common,3800,3832.5605,32.560546875,0.8568564967105263
2024-04-24,Medinipur(W),Jhargram,Rice,Super Fine,5000,5103.7383,103.73828125,2.074765625
2024-04-27,Medinipur(W),Jhargram,Rice,Fine,4400,4417.3643,17.3642578125,0.39464222301136365
2024-04-06,Darjeeling,Kalimpong,Rice,Other,6000,5932.4277,67.572265625,1.1262044270833333
