,RMSE,MAE,R2,MAPE
Train,108.8282764266714,64.85127258300781,0.9917369484901428,2.1974651545758865
Validation,151.7463832970987,71.37020874023438,0.9848806858062744,2.2773907681734165
Test,166.21790691175545,71.78392791748047,0.9794909954071045,2.292880027581001
